Date,Value
12/31/1980,4.78
12/31/1981,5.115
12/31/1982,5.048
12/31/1983,4.562
12/31/1984,5.893
12/31/1985,6.693
12/31/1986,7.078
12/31/1987,6.057
12/31/1988,6.428
12/31/1989,8.881
12/31/1990,9.567
12/31/1991,10.585
12/31/1992,11.155
12/31/1993,10.015
12/31/1994,7.828
12/31/1995,6.863
12/31/1996,8.325
12/31/1997,9.525
12/31/1998,10.675
12/31/1999,11.075
12/31/2000,10.9
12/31/2001,11.625
12/31/2002,12.875
12/31/2003,13.4
12/31/2004,12.9
12/31/2005,11.2
12/31/2006,10.45
12/31/2007,9.15
12/31/2008,7.65
12/31/2009,9.425
12/31/2010,8.25
12/31/2011,7.05
12/31/2012,6.9
12/31/2013,6.25
12/31/2014,5.9
12/31/2015,5.325
12/31/2016,4.8
12/31/2017,4.275
12/31/2018,4
12/31/2019,3.8
12/31/2020,12
12/31/2021,7.6
12/31/2022,4.144
12/31/2023,4.153
12/31/2024,4.162
